fighter_name,fighter_url,height_raw,weight_raw,reach_raw,stance_raw,date_of_birth,height_in,weight_lbs,reach_in,stance
Kaue Fernandes,http://ufcstats.com/fighter-details/ec13c393d029297d,"5' 9""",155 lbs.,"73""",Orthodox,1995-03-17,69.0,155.0,73.0,Orthodox
Kay Hansen,http://ufcstats.com/fighter-details/4100c7a09497ad41,"5' 2""",115 lbs.,"63""",Orthodox,1999-08-14,62.0,115.0,63.0,Orthodox
Kayla Harrison,http://ufcstats.com/fighter-details/1af1170ed937cba7,"5' 8""",135 lbs.,"66""",Southpaw,1990-07-02,68.0,135.0,66.0,Southpaw
Kaynan Kruschewsky,http://ufcstats.com/fighter-details/ca36633b80be4a78,"6' 0""",155 lbs.,"73""",Orthodox,1991-04-04,72.0,155.0,73.0,Orthodox
Kazuhiro Nakamura,http://ufcstats.com/fighter-details/b034747dc1d15491,"5' 11""",205 lbs.,"70""",Orthodox,1979-07-16,71.0,205.0,70.0,Orthodox
Kazuki Tokudome,http://ufcstats.com/fighter-details/c4af2feb4b58bc3b,"5' 11""",155 lbs.,"73""",Southpaw,1987-03-04,71.0,155.0,73.0,Southpaw
Kazula Vargas,http://ufcstats.com/fighter-details/ec18eb918121787c,"5' 8""",155 lbs.,"71""",Southpaw,1985-08-15,68.0,155.0,71.0,Southpaw
Kazushi Sakuraba,http://ufcstats.com/fighter-details/9b5b5a75523728f3,"6' 0""",185 lbs.,--,Southpaw,1969-07-14,72.0,185.0,,Southpaw
Keigo Kunihara,http://ufcstats.com/fighter-details/782a2a17d3e38fdf,"6' 0""",235 lbs.,--,Orthodox,,72.0,235.0,,Orthodox
Keiichiro Nakamura,http://ufcstats.com/fighter-details/3618e0632ecdba9c,"5' 10""",145 lbs.,"70""",Southpaw,1998-12-02,70.0,145.0,70.0,Southpaw
Keiichiro Yamamiya,http://ufcstats.com/fighter-details/6014d25e73b669c9,"5' 11""",185 lbs.,--,Southpaw,1972-07-12,71.0,185.0,,Southpaw
Keita Nakamura,http://ufcstats.com/fighter-details/65ddc8a9ac4e8531,"5' 11""",170 lbs.,"73""",Southpaw,1984-05-22,71.0,170.0,73.0,Southpaw
Keith Berish,http://ufcstats.com/fighter-details/e3779ef06e98f185,"6' 0""",205 lbs.,--,Orthodox,1985-11-14,72.0,205.0,,Orthodox
Keith Hackney,http://ufcstats.com/fighter-details/bf12aca029bfcc47,"5' 11""",200 lbs.,--,Sideways,1958-04-15,71.0,200.0,,Sideways
Keith Jardine,http://ufcstats.com/fighter-details/b9d0fd83bb8a147a,"6' 2""",185 lbs.,"76""",Orthodox,1975-10-31,74.0,185.0,76.0,Orthodox
Keith Mielke,http://ufcstats.com/fighter-details/f62850b3c7480db9,"5' 8""",185 lbs.,--,,,68.0,185.0,,
Keith Rockel,http://ufcstats.com/fighter-details/c75b99887c8c3f5a,"6' 0""",185 lbs.,--,Orthodox,1965-08-28,72.0,185.0,,Orthodox
Keith Wisniewski,http://ufcstats.com/fighter-details/cd12227edd3f134b,"6' 0""",170 lbs.,--,Orthodox,1981-10-25,72.0,170.0,,Orthodox
Kelly Dullanty,http://ufcstats.com/fighter-details/1a225f04aa6e0739,"5' 8""",155 lbs.,--,Orthodox,1977-11-04,68.0,155.0,,Orthodox
Kelly Faszholz,http://ufcstats.com/fighter-details/9c42a0de8e012870,"5' 8""",135 lbs.,--,Orthodox,1985-04-09,68.0,135.0,,Orthodox
Kelvin Gastelum,http://ufcstats.com/fighter-details/8c0580d4fff106c1,"5' 9""",185 lbs.,"71""",Southpaw,1991-10-24,69.0,185.0,71.0,Southpaw
Ken Shamrock,http://ufcstats.com/fighter-details/63b65af1c5cb02cb,"6' 1""",205 lbs.,"72""",Orthodox,1964-02-11,73.0,205.0,72.0,Orthodox
Ken Stone,http://ufcstats.com/fighter-details/fbf0947399d14323,"5' 8""",135 lbs.,"71""",Southpaw,1982-10-08,68.0,135.0,71.0,Southpaw
Kendall Grove,http://ufcstats.com/fighter-details/234f3767ff0e5701,"6' 6""",185 lbs.,"79""",Orthodox,1982-11-12,78.0,185.0,79.0,Orthodox
Kenichi Yamamoto,http://ufcstats.com/fighter-details/9f488f520ed25bbf,"6' 0""",170 lbs.,--,Orthodox,1976-07-11,72.0,170.0,,Orthodox
Kennedy Nzechukwu,http://ufcstats.com/fighter-details/8667caa0451d245b,"6' 5""",236 lbs.,"83""",Southpaw,1992-06-13,77.0,236.0,83.0,Southpaw
Kenny Florian,http://ufcstats.com/fighter-details/cb139171ed1b69fe,"5' 10""",145 lbs.,"74""",Southpaw,1976-05-26,70.0,145.0,74.0,Southpaw
Kenny Robertson,http://ufcstats.com/fighter-details/6e0273f9478be71e,"5' 10""",170 lbs.,"74""",Orthodox,1984-02-14,70.0,170.0,74.0,Orthodox
Kerry Schall,http://ufcstats.com/fighter-details/030f08370fd1c2bb,"6' 2""",265 lbs.,--,Orthodox,1971-08-09,74.0,265.0,,Orthodox
Ketlen Souza,http://ufcstats.com/fighter-details/8bd4200561c77a62,"5' 3""",115 lbs.,"63""",Orthodox,1994-08-18,63.0,115.0,63.0,Orthodox
Ketlen Vieira,http://ufcstats.com/fighter-details/b9706f80d005036c,"5' 8""",135 lbs.,"68""",Orthodox,1991-08-26,68.0,135.0,68.0,Orthodox
Kevin Aguilar,http://ufcstats.com/fighter-details/cf946e03ba2e7666,"5' 7""",155 lbs.,"73""",Orthodox,1988-09-07,67.0,155.0,73.0,Orthodox
Kevin Borjas,http://ufcstats.com/fighter-details/34b96d52db1d26e6,"5' 5""",125 lbs.,"68""",Orthodox,1997-12-06,65.0,125.0,68.0,Orthodox
Kevin Burns,http://ufcstats.com/fighter-details/a6d8bfe9e0c8153b,"5' 10""",170 lbs.,"74""",Orthodox,1980-03-03,70.0,170.0,74.0,Orthodox
Kevin Casey,http://ufcstats.com/fighter-details/8d9586726252dbf7,"5' 11""",185 lbs.,"77""",Southpaw,1981-06-15,71.0,185.0,77.0,Southpaw
Kevin Christian,http://ufcstats.com/fighter-details/7e9b36a9847db116,"6' 7""",205 lbs.,"80""",Orthodox,1995-01-21,79.0,205.0,80.0,Orthodox
Kevin Croom,http://ufcstats.com/fighter-details/35b3772629e27a49,"5' 11""",135 lbs.,"73""",Orthodox,1987-07-15,71.0,135.0,73.0,Orthodox
Kevin Ferguson,http://ufcstats.com/fighter-details/27541033b97c076d,"6' 2""",235 lbs.,"77""",Orthodox,1974-02-08,74.0,235.0,77.0,Orthodox
Kevin Holland,http://ufcstats.com/fighter-details/3a46b268013afede,"6' 3""",170 lbs.,"81""",Orthodox,1992-11-05,75.0,170.0,81.0,Orthodox
